Déplacement (mm);Force (N)
7.24;5006.55
7.24;4926.58
7.24;4990.56
7.24;5022.55
7.24;5054.54
7.24;5022.55
7.3;5006.55
7.3;5022.55
7.3;5022.55
7.3;5086.53
7.3;5070.53
7.3;5086.53
7.36;5070.53
7.36;5038.54
7.36;5086.53
7.36;5118.52
7.36;5102.52
7.36;4958.57
7.36;4990.56
7.41;4942.57
7.41;4942.57
7.41;4974.56
7.41;4958.57
7.41;4974.56
7.41;4974.56
7.41;4974.56
7.47;4958.57
7.47;4958.57
7.47;4958.57
7.47;4974.56
7.47;4974.56
7.47;4990.56
7.52;4958.57
7.52;4974.56
7.52;4958.57
7.52;4990.56
7.52;4974.56
7.52;4990.56
7.58;4974.56
7.58;5006.55
7.58;4974.56
7.58;5006.55
7.58;5006.55
7.58;5006.55
7.64;4990.56
7.64;4990.56
7.64;5006.55
7.64;4990.56
7.64;4990.56
7.64;5006.55
7.64;4990.56
7.64;5006.55
7.64;5022.55
7.69;4990.56
7.69;5006.55
7.69;5022.55
7.69;5038.54
7.75;5006.55
7.75;5022.55
7.75;5038.54
7.75;5022.55
7.75;5038.54
7.75;5022.55
7.75;5038.54
7.75;5038.54
7.75;5054.54
7.81;5022.55
7.81;5022.55
7.81;5022.55
7.81;5054.54
7.81;5054.54
7.81;5038.54
7.86;5022.55
7.86;5022.55
7.86;5022.55
7.86;5054.54
7.86;5022.55
7.86;5038.54
7.86;5054.54
7.92;5022.55
7.92;5038.54
7.92;5070.53
7.92;5054.54
7.92;5086.53
7.92;5102.52
7.97;5070.53
7.97;5070.53
7.97;5102.52
7.97;5102.52
7.97;5134.52
7.97;5118.52
7.97;5134.52
8.03;5102.52
8.03;5134.52
8.03;5118.52
8.03;5166.51
8.03;5086.53
8.03;5102.52
8.03;5118.52
8.03;5166.51
8.03;5134.52
8.09;5086.53
8.09;5134.52
8.09;5118.52
8.09;5102.52
8.09;5134.52
8.09;5134.52
8.14;5102.52
8.14;5118.52
8.14;5134.52
8.14;5134.52
8.14;5166.51
8.14;5166.51
8.2;5150.51
8.2;5150.51
8.2;5166.51
8.2;5134.52
8.2;5134.52
8.2;5118.52
8.2;5086.53
8.25;5102.52
8.25;5070.53
8.25;5070.53
8.25;5086.53
8.25;5070.53
8.25;5102.52
8.25;5118.52
