Déplacement (mm);Force (N)
3.37;8397.57
3.43;8413.57
3.43;8413.57
3.43;8429.56
3.43;8429.56
3.43;8429.56
3.43;8429.56
3.43;8445.56
3.48;8445.56
3.48;8445.56
3.48;8445.56
3.48;8461.55
3.48;8461.55
3.54;8477.55
3.54;8461.55
3.54;8477.55
3.54;8477.55
3.54;8493.54
3.54;8493.54
3.59;8493.54
3.59;8493.54
3.59;8493.54
3.59;8493.54
3.59;8509.54
3.59;8509.54
3.59;8525.54
3.65;8525.54
3.65;8525.54
3.65;8525.54
3.65;8541.53
3.65;8541.53
3.65;8557.53
3.65;8557.53
3.65;8557.53
3.71;8557.53
3.71;8573.52
3.71;8557.53
3.71;8573.52
3.71;8573.52
3.71;8589.52
3.71;8573.52
3.71;8589.52
3.71;8589.52
3.71;8605.51
3.76;8605.51
3.76;8621.51
3.76;8605.51
3.76;8621.51
3.82;8621.51
3.82;8621.51
3.82;8621.51
3.82;8637.5
3.82;8621.51
3.82;8637.5
3.82;8637.5
3.82;8653.5
3.82;8637.5
3.87;8653.5
3.87;8653.5
3.87;8669.49
3.87;8653.5
3.93;8669.49
3.93;8669.49
3.93;8669.49
3.93;8669.49
3.93;8685.49
3.93;8685.49
3.93;8701.48
3.93;8701.48
3.93;8701.48
3.99;8701.48
3.99;8717.48
3.99;8701.48
3.99;8717.48
3.99;8717.48
3.99;8717.48
3.99;8717.48
3.99;8733.47
3.99;8717.48
4.04;8733.47
4.04;8733.47
4.04;8733.47
4.04;8733.47
4.1;8749.47
4.1;8749.47
4.1;8765.47
4.1;8749.47
4.1;8765.47
4.1;8765.47
4.1;8765.47
4.1;8765.47
4.16;8781.46
4.16;8781.46
4.16;8781.46
4.16;8781.46
4.16;8797.46
4.16;8797.46
4.21;8781.46
4.21;8797.46
4.21;8797.46
4.21;8797.46
4.21;8813.45
4.21;8813.45
4.27;8813.45
4.27;8813.45
4.27;8829.45
4.27;8829.45
4.27;8829.45
4.27;8829.45
4.27;8829.45
4.27;8845.44
4.32;8829.45
4.32;8845.44
4.32;8845.44
4.32;8845.44
4.32;8861.44
4.32;8861.44
4.38;8845.44
4.38;8861.44
4.38;8845.44
4.38;8861.44
4.38;8877.43
4.38;8861.44
4.38;8877.43
4.44;8877.43
4.44;8893.43
4.44;8893.43
4.44;8893.43
4.44;8893.43
4.44;8909.42
4.44;8893.43
4.44;8893.43
4.49;8893.43
4.49;8909.42
4.49;8893.43
4.49;8909.42
4.49;8925.42
4.55;8909.42
4.55;8909.42
4.55;8925.42
4.55;8909.42
4.55;8925.42
4.55;8925.42
4.55;8941.41
4.6;8925.42
4.6;8941.41
4.6;8941.41
4.6;8957.41
4.6;8941.41
4.6;8957.41
4.6;8941.41
4.6;8957.41
4.66;8957.41
4.66;8957.41
4.66;8957.41
4.66;8973.41
4.66;8957.41
4.66;8973.41
4.72;8957.41
4.72;8973.41
4.72;8973.41
4.72;8973.41
4.72;8973.41
4.72;8989.4
4.72;8989.4
4.77;8973.41
4.77;8989.4
4.77;9005.4
4.77;9005.4
4.77;9005.4
4.77;9005.4
4.77;9005.4
4.77;8989.4
4.83;9005.4
4.83;9005.4
4.83;9005.4
4.83;9005.4
4.83;9021.39
4.83;9037.39
4.89;9021.39
4.89;9021.39
4.89;9037.39
4.89;9021.39
4.89;9037.39
4.89;9021.39
4.89;9037.39
4.89;9037.39
4.89;9037.39
4.89;9053.38
4.94;9037.39
4.94;9037.39
4.94;9053.38
4.94;9037.39
5.00;9053.38
5.00;9053.38
5.00;9069.38
5.00;9053.38
5.00;9069.38
5.00;9053.38
5.00;9069.38
5.05;9069.38
5.05;9069.38
5.05;9069.38
5.05;9085.37
5.05;9069.38
5.05;9085.37
5.05;9085.37
5.05;9085.37
5.11;9085.37
5.11;9085.37
5.11;9085.37
5.11;9101.37
5.11;9085.37
5.11;9101.37
5.11;9085.37
5.11;9101.37
5.17;9085.37
5.17;9101.37
5.17;9085.37
5.17;9101.37
5.17;9101.37
5.17;9117.36
5.17;9133.36
5.22;9117.36
5.22;9117.36
5.22;9133.36
5.28;9117.36
5.28;9117.36
5.28;9117.36
5.28;9133.36
5.28;9117.36
5.28;9133.36
5.28;9133.36
5.28;9133.36
5.33;9133.36
5.33;9149.35
5.33;9133.36
5.33;9149.35
5.33;9133.36
5.33;9149.35
5.33;9133.36
5.33;9149.35
5.39;9149.35
5.39;9149.35
5.39;9149.35
5.39;9165.35
5.39;9165.35
5.39;9181.35
5.39;9165.35
5.45;9165.35
5.45;9165.35
5.45;9165.35
5.45;9165.35
5.45;9165.35
5.45;9165.35
5.45;9181.35
5.5;9165.35
5.5;9181.35
5.5;9181.35
5.5;9181.35
5.5;9181.35
5.5;9181.35
5.5;9197.34
5.56;9181.35
5.56;9181.35
5.56;9197.34
5.56;9197.34
5.56;9197.34
5.56;9197.34
5.62;9197.34
5.62;9197.34
5.62;9213.34
5.62;9197.34
5.62;9213.34
5.62;9197.34
5.62;9213.34
5.67;9213.34
5.67;9213.34
5.67;9213.34
5.67;9213.34
5.67;9213.34
5.67;9213.34
5.67;9213.34
5.67;9213.34
5.73;9213.34
5.73;9229.33
5.73;9229.33
5.73;9229.33
5.73;9229.33
5.73;9245.33
5.73;9229.33
5.78;9229.33
5.78;9245.33
5.78;9229.33
5.78;9229.33
5.78;9229.33
5.78;9229.33
5.78;9245.33
5.84;9245.33
5.84;9245.33
5.84;9245.33
5.84;9261.32
5.84;9261.32
5.9;9245.33
5.9;9245.33
5.9;9261.32
5.9;9245.33
5.9;9261.32
5.9;9245.33
5.9;9261.32
5.9;9261.32
5.9;9261.32
5.95;9261.32
5.95;9261.32
5.95;9261.32
5.95;9277.32
5.95;9261.32
5.95;9277.32
6.01;9261.32
6.01;9277.32
6.01;9261.32
6.01;9277.32
6.01;9261.32
6.01;9277.32
6.01;9277.32
6.01;9277.32
6.06;9277.32
6.06;9277.32
6.06;9277.32
6.06;9293.31
6.06;9277.32
6.06;9293.31
6.12;9277.32
6.12;9293.31
6.12;9277.32
6.12;9293.31
6.12;9277.32
6.12;9293.31
6.12;9293.31
6.12;9309.31
6.18;9293.31
6.18;9309.31
6.18;9293.31
6.18;9309.31
6.23;9293.31
6.23;9309.31
6.23;9309.31
6.23;9309.31
6.23;9309.31
6.23;9309.31
6.23;9309.31
6.29;9309.31
6.29;9309.31
6.29;9325.3
6.29;9309.31
6.29;9325.3
6.29;9309.31
6.29;9325.3
6.29;9325.3
6.29;9325.3
6.35;9309.31
6.35;9309.31
6.35;9325.3
6.35;9341.3
6.35;9325.3
6.35;9341.3
6.4;9325.3
6.4;9341.3
6.4;9325.3
6.4;9341.3
6.4;9325.3
6.4;9341.3
6.4;9325.3
6.4;9341.3
6.46;9325.3
6.46;9341.3
6.46;9341.3
6.46;9341.3
6.46;9341.3
6.46;9341.3
6.51;9341.3
6.51;9341.3
6.51;9341.3
6.51;9357.29
6.51;9341.3
6.51;9357.29
6.57;9341.3
6.57;9357.29
6.57;9341.3
6.57;9357.29
6.57;9341.3
6.57;9357.29
6.57;9357.29
6.63;9341.3
6.63;9341.3
6.63;9357.29
6.63;9357.29
6.63;9373.29
6.63;9357.29
6.63;9373.29
6.68;9357.29
6.68;9373.29
6.68;9357.29
6.68;9373.29
6.68;9357.29
6.68;9373.29
6.68;9373.29
6.68;9373.29
6.74;9357.29
6.74;9389.29
6.74;9373.29
6.74;9389.29
6.74;9373.29
6.74;9373.29
6.74;9389.29
6.79;9373.29
6.79;9373.29
6.79;9389.29
6.79;9373.29
6.79;9389.29
6.79;9373.29
6.79;9389.29
6.85;9373.29
6.85;9389.29
6.85;9389.29
6.85;9405.28
6.85;9389.29
6.85;9405.28
6.85;9389.29
6.85;9389.29
6.91;9389.29
6.91;9389.29
6.91;9389.29
6.91;9389.29
6.91;9389.29
6.91;9405.28
6.96;9389.29
6.96;9405.28
6.96;9389.29
6.96;9405.28
6.96;9405.28
7.02;9405.28
7.02;9405.28
7.02;9405.28
7.02;9405.28
7.02;9405.28
7.02;9405.28
7.08;9389.29
7.08;9389.29
7.08;9421.28
7.08;9405.28
7.08;9421.28
7.08;9405.28
7.08;9421.28
7.08;9405.28
7.08;9421.28
7.13;9405.28
7.13;9421.28
7.13;9405.28
7.13;9421.28
7.13;9405.28
7.13;9421.28
7.13;9421.28
7.13;9437.27
7.19;9421.28
7.19;9437.27
7.19;9421.28
7.19;9421.28
7.24;9421.28
7.24;9421.28
7.24;9421.28
7.24;9437.27
7.24;9421.28
7.24;9437.27
7.24;9421.28
7.24;9437.27
7.3;9421.28
7.3;9437.27
7.3;9421.28
7.3;9437.27
7.3;9437.27
7.3;9437.27
7.3;9453.27
7.36;9421.28
7.36;9437.27
7.36;9437.27
7.36;9437.27
7.36;9437.27
7.36;9437.27
7.36;9437.27
7.41;9421.28
7.41;9437.27
7.41;9437.27
7.41;9453.27
7.41;9437.27
7.41;9453.27
7.41;9453.27
7.47;9437.27
7.47;9437.27
7.47;9453.27
7.47;9437.27
7.47;9453.27
7.47;9437.27
7.47;9453.27
7.52;9453.27
7.52;9453.27
7.52;9453.27
7.52;9453.27
7.52;9437.27
7.52;9453.27
7.58;9437.27
7.58;9453.27
7.58;9437.27
7.58;9453.27
7.58;9469.26
7.58;9469.26
7.64;9453.27
7.64;9453.27
7.64;9453.27
7.64;9469.26
7.64;9453.27
7.64;9469.26
7.64;9453.27
7.64;9469.26
7.69;9453.27
7.69;9469.26
7.69;9453.27
7.69;9469.26
7.69;9453.27
7.69;9469.26
7.69;9469.26
7.75;9453.27
7.75;9453.27
7.75;9469.26
7.75;9453.27
7.75;9469.26
7.75;9453.27
7.75;9485.26
7.81;9469.26
7.81;9485.26
7.81;9469.26
7.81;9485.26
7.81;9469.26
7.81;9485.26
7.81;9485.26
7.86;9469.26
7.86;9469.26
7.86;9485.26
7.86;9469.26
7.86;9485.26
